what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448057334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448058045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448059292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448106596
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1412448118047
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1412448118624
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1412448119631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448123137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448194944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448197073
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448200651
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1412448203588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448211411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448212933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448215917
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448232985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448236111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448237679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448242540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448244271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448250132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448251790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448253606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448263304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448306130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448312687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448357158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448405364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412448441738
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412448442102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412448480515
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412448481071
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412448494870
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412448497711
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1412448500521
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1412448502705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412448519229
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412448520437
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1412448525096
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1412448527007
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1412448529333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448532457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448575661
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1412448579136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412448581625
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412448583034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412448609286
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412448620169
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412448620496
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1412448626965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412448686101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412448689656
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412448689921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412448719773
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412448720128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448737818
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412448795246
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1412448802755
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1412448810824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412448833827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412448837435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412448838656
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412448840751
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1412448898292
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1412448899365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412448904970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412449028130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412449030681
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412449048878
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412449049215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412449085732
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412449089289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412449093191
error,log,,,"The program file specified in the launch configuration does not exist",1412449093277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412449093376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412449094885
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412449101374
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412449105935
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412449116242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412449140246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412449143465
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412449144753
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412449192913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412449197186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412449198305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412449549242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412449561566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412449961317
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450006910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450263998
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412450274694
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1412450283240
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412450291889
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412450296599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450298008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450299207
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.line",1412450299285
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412450349785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450353777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450357932
error,log,,,"The program file specified in the launch configuration does not exist",1412450357962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450358010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450359459
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412450410379
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412450410463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412450418076
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412450422658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450427372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450427911
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412450466045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412450474760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412450475859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451150237
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412451169208
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451220230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451281980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451323829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451327936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451387983
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451390459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451391742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451448760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451449937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451463590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451463623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451746391
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1412451755214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412451808248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412462271846
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412462273178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1412462273762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412462274923
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412462275081
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412462280056
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412462280191
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412462285683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412462285875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412462287633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412462449421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412462452130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464088667
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1412464104069
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1412464107974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412464144389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464146664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464189427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464189890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464207487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464208535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464250959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464294552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464307767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464321774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464331728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464372726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464377410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464399658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464476758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464478318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464534287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464571366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464607291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464608862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464827237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464855105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464856031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464856973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464910311
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1412464925092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412464926269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412464928142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412464931069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412464943270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412464944297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412465006129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412465007029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412465194105
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1412465229787
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1412465231560
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412465252001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412465259288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412465262237
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1412465276976
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412465284463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412465295883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412465296106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412465298830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412465340965
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.goto.next.member",1412465347547
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412465356257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412465356797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412491679246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412491716365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412491920261
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412491929387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412491929925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412491933025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412491949578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412491955901
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412491975247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412491975678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412491976720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412491977631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412492009994
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1412492012313
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1412492016194
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1412492018962
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412492022035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412492025886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412492038614
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412492045696
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412492047743
