what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410970939767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1410970952971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1410970954585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1410970957008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410970958157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410970960716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410970965248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410970979559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410970986945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410970988401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410970992867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410970993734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410970998070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971012949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971061024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971063463
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1410971066784
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1410971067374
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410971073443
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410971100328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971109305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971233680
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1410971269858
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1410971278770
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1410971280146
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1410971290635
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1410971291153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410971298160
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410971302396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971302751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971318487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971323324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971324414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971327141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971328525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971331166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410971332080
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410971338188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1410971338489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1410971338785
